cpplint/samples/codelite-sample/src/pptable.cpp:129:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:130:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:131:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:135:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:136:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:137:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:138:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:139:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:141:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:142:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:143:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:143:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:143:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:144:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:145:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:146:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:146:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:146:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:147:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:148:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:149:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:149:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:150:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:150:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:150:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:151:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:152:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:153:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:155:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:156:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:157:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:157:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:157:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:158:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:159:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:160:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:160:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:161:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:161:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:161:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:162:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:163:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:164:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:165:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:165:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:165:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:166:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:167:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:168:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:168:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:169:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:169:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:169:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:170:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:171:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:172:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:173:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:174:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:175:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:176:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:182:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:183:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:185:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:186:  Tab found; better to use spaces  [whitespace/tab] [1]
